Year,고운동,아름동,종촌동,도담동,어진동,다정동,새롬동,한솔동,보람동,소담동,나성동,반곡동,해밀동
2024,24.98,37.28,13.7,12.0,24.54,17.82,8.01,55.72,55.53,20.19,44.77,39.09,43.73
2025,30.47,23.39,11.85,15.75,23.34,11.91,4.11,30.48,60.07,25.2,35.37,35.91,32.61
