ADM_NM,EST_SALES
가람동,7951753.0
고운동,82493380.0
나성동,184444748.0
누리동,13167.0
다솜동,0.0
다정동,53051458.0
대평동,41695736.0
도담동,83618675.0
반곡동,37869789.0
보람동,81744701.0
산울동,10780173.0
새롬동,118263554.0
세종동,19036516.0
소담동,58703995.0
아름동,86855772.0
어진동,66472173.0
종촌동,61676660.0
집현동,6979024.0
한별동,133915.0
한솔동,52452261.0
합강동,174982.0
해밀동,11743023.0
